,model,top_k,model_top_k_name,right_answer_format,valid_icpc_2_code_rate,relevant_code_is_in_search_results,selected_code_is_in_search_results,selected_code_is_in_relevant_codes,selected_code_is_in_relevant_codes_and_in_search_results,precision,recall,f1_score,ideal_scn_precision,ideal_scn_recall,ideal_scn_f1_score
121,gpt-4.1,50,gpt-4.1-top-50,1.0,1.0,0.8528735632183908,0.9875,0.7218390804597701,0.8409703504043127,0.785,0.9289940828402367,0.8509485094850948,0.8071979434447301,0.9289940828402367,0.8638239339752407
123,gpt-4.1-mini,10,gpt-4.1-mini-top-10,1.0,0.9975490196078431,0.8344827586206897,0.9828431372549019,0.7264367816091954,0.8650137741046832,0.7745098039215687,0.9432835820895522,0.8506056527590848,0.8144329896907216,0.9432835820895522,0.8741355463347165
108,gemini-2.5-pro-exp-03-25,50,gemini-2.5-pro-exp-03-25-top-50,0.9977011494252873,1.0,0.8528735632183908,0.9855421686746988,0.7264367816091954,0.8463611859838275,0.7614457831325301,0.9634146341463414,0.8506056527590847,0.7919799498746867,0.9634146341463414,0.8693259972489683
53,DeepSeek-V3,20,DeepSeek-V3-top-20,1.0,1.0,0.8413793103448276,0.9873417721518988,0.7172413793103448,0.8469945355191257,0.789873417721519,0.9203539823008849,0.8501362397820165,0.814621409921671,0.9203539823008849,0.8642659279778393
20,o3-mini,10,o3-mini-top-10,1.0,1.0,0.8344827586206897,0.9922680412371134,0.7172413793103448,0.8539944903581267,0.8041237113402062,0.9017341040462428,0.8501362397820164,0.8364611260053619,0.9017341040462428,0.8678720445062588
68,Llama-3.1-405B-Instruct,10,Llama-3.1-405B-Instruct-top-10,1.0,1.0,0.8344827586206897,0.9900744416873449,0.7218390804597701,0.859504132231405,0.7791563275434243,0.9345238095238095,0.8497970230040596,0.8134715025906736,0.9345238095238095,0.8698060941828255
122,gpt-4.1,100,gpt-4.1-top-100,1.0,1.0,0.8597701149425288,0.9899497487437185,0.7195402298850575,0.8315508021390374,0.7864321608040201,0.9233038348082596,0.8493894165535956,0.8025641025641026,0.9233038348082596,0.8587105624142661
125,gpt-4.1-mini,50,gpt-4.1-mini-top-50,1.0,0.9952380952380953,0.8528735632183908,0.9761904761904762,0.7310344827586207,0.8517520215633423,0.7571428571428571,0.9665653495440729,0.8491321762349799,0.7871287128712872,0.9665653495440729,0.8676671214188268
71,Llama-3.1-405B-Instruct,100,Llama-3.1-405B-Instruct-top-100,1.0,0.9950617283950617,0.8597701149425288,0.9876543209876543,0.7218390804597701,0.8342245989304813,0.7753086419753087,0.9373134328358209,0.8486486486486486,0.7969543147208121,0.9373134328358209,0.8614540466392318
119,gpt-4.1,10,gpt-4.1-top-10,1.0,1.0,0.8344827586206897,0.9898734177215189,0.7195402298850575,0.8567493112947658,0.7924050632911392,0.9125364431486881,0.8482384823848239,0.8236842105263158,0.9125364431486881,0.8658367911479945
52,DeepSeek-V3,10,DeepSeek-V3-top-10,1.0,1.0,0.8344827586206897,0.9872122762148338,0.7103448275862069,0.8457300275482094,0.7902813299232737,0.9142011834319527,0.8477366255144033,0.8196286472148541,0.9142011834319527,0.8643356643356643
107,gemini-2.5-pro-exp-03-25,20,gemini-2.5-pro-exp-03-25-top-20,1.0,1.0,0.8413793103448276,0.9804878048780488,0.7218390804597701,0.8497267759562842,0.7658536585365854,0.9486404833836858,0.8475033738191632,0.7929292929292929,0.9486404833836858,0.8638239339752407
85,QwQ-32B,200,QwQ-32B-top-200,0.993103448275862,1.0,0.8666666666666667,0.9880382775119617,0.7241379310344828,0.830238726790451,0.7535885167464115,0.9662576687116564,0.8467741935483871,0.7758620689655172,0.9662576687116564,0.860655737704918
22,o3-mini,50,o3-mini-top-50,1.0,1.0,0.8528735632183908,0.9847328244274809,0.7149425287356321,0.8328840970350404,0.7913486005089059,0.9093567251461988,0.8462585034013604,0.8120104438642297,0.9093567251461988,0.8579310344827585
134,o4-mini,100,o4-mini-top-100,1.0,1.0,0.8597701149425288,0.9877450980392157,0.7195402298850575,0.8315508021390374,0.7671568627450981,0.9427710843373494,0.8459459459459459,0.7805486284289277,0.9427710843373494,0.8540245566166439
70,Llama-3.1-405B-Instruct,50,Llama-3.1-405B-Instruct-top-50,1.0,0.9975247524752475,0.8528735632183908,0.9876237623762376,0.7172413793103448,0.8355795148247979,0.7722772277227723,0.9341317365269461,0.8455284552845529,0.7959183673469388,0.9341317365269461,0.859504132231405
113,Llama-4-Maverick-Instruct-Basic,50,Llama-4-Maverick-Instruct-Basic-top-50,1.0,0.9976019184652278,0.8528735632183908,0.9832134292565947,0.728735632183908,0.8490566037735849,0.7601918465227818,0.9519519519519519,0.8453333333333335,0.7885572139303483,0.9519519519519519,0.8625850340136054
31,gemini-2.0-flash-lite,100,gemini-2.0-flash-lite-top-100,1.0,0.995260663507109,0.8597701149425288,0.981042654028436,0.728735632183908,0.8422459893048129,0.7511848341232228,0.9664634146341463,0.8453333333333334,0.7769607843137255,0.9664634146341463,0.8614130434782609
21,o3-mini,20,o3-mini-top-20,1.0,1.0,0.8413793103448276,0.9896907216494846,0.7080459770114943,0.8333333333333334,0.7938144329896907,0.9032258064516129,0.8449931412894376,0.8191489361702128,0.9032258064516129,0.8591352859135286
47,Llama-3.3-70B-Instruct,100,Llama-3.3-70B-Instruct-top-100,0.9977011494252873,0.9974358974358974,0.8597701149425288,0.9871794871794872,0.7011494252873564,0.8101604278074866,0.782051282051282,0.9186746987951807,0.8448753462603878,0.7984293193717278,0.9186746987951807,0.854341736694678
18,o1,50,o1-top-50,1.0,1.0,0.8528735632183908,0.9895561357702349,0.7034482758620689,0.8194070080862533,0.7989556135770235,0.8947368421052632,0.8441379310344828,0.8181818181818182,0.8947368421052632,0.8547486033519553
46,Llama-3.3-70B-Instruct,50,Llama-3.3-70B-Instruct-top-50,0.9977011494252873,1.0,0.8528735632183908,0.989821882951654,0.7034482758620689,0.8194070080862533,0.7786259541984732,0.9216867469879518,0.8441379310344826,0.8031496062992126,0.9216867469879518,0.8583450210378681
69,Llama-3.1-405B-Instruct,20,Llama-3.1-405B-Instruct-top-20,1.0,1.0,0.8413793103448276,0.9878640776699029,0.7195402298850575,0.8497267759562842,0.7597087378640777,0.9484848484848485,0.8436657681940701,0.7924050632911392,0.9484848484848485,0.863448275862069
74,Llama-3.1-70B-Instruct,50,Llama-3.1-70B-Instruct-top-50,1.0,1.0,0.8528735632183908,0.9828009828009828,0.7126436781609196,0.8301886792452831,0.7616707616707616,0.9451219512195121,0.8435374149659863,0.7868020304568528,0.9451219512195121,0.8587257617728532
36,gemma-3-27b-it,10,gemma-3-27b-it-top-10,1.0,1.0,0.8344827586206897,0.9762470308788599,0.7172413793103448,0.8539944903581267,0.7410926365795725,0.975,0.8421052631578948,0.7918781725888325,0.975,0.8739495798319328
66,DeepSeek-R1,50,DeepSeek-R1-top-50,0.9793103448275862,1.0,0.8528735632183908,0.9848484848484849,0.7103448275862069,0.8274932614555256,0.7803030303030303,0.9142011834319527,0.8419618528610355,0.8025974025974026,0.9142011834319527,0.8547717842323652
67,DeepSeek-R1,100,DeepSeek-R1-top-100,0.9816091954022989,1.0,0.8597701149425288,0.9825,0.7103448275862069,0.820855614973262,0.7725,0.9251497005988024,0.8419618528610355,0.7882653061224489,0.9251497005988024,0.8512396694214875
3,gpt-4o-mini,100,gpt-4o-mini-top-100,1.0,1.0,0.8597701149425288,0.9853658536585366,0.7149425287356321,0.8235294117647058,0.7585365853658537,0.9452887537993921,0.8416779431664412,0.7775,0.9452887537993921,0.8532235939643347
30,gemini-2.0-flash-lite,50,gemini-2.0-flash-lite-top-50,1.0,0.9928571428571429,0.8528735632183908,0.9809523809523809,0.7241379310344828,0.8436657681940701,0.75,0.9574468085106383,0.8411214953271028,0.7797029702970297,0.9574468085106383,0.8594815825375169
120,gpt-4.1,20,gpt-4.1-top-20,1.0,1.0,0.8413793103448276,0.9899497487437185,0.7103448275862069,0.8387978142076503,0.7763819095477387,0.9169139465875371,0.8408163265306123,0.8046875,0.9169139465875371,0.8571428571428571
45,Llama-3.3-70B-Instruct,20,Llama-3.3-70B-Instruct-top-20,1.0,1.0,0.8413793103448276,0.9851116625310173,0.7103448275862069,0.8360655737704918,0.7667493796526055,0.9307228915662651,0.8408163265306122,0.794344473007712,0.9307228915662651,0.8571428571428571
1,gpt-4o-mini,20,gpt-4o-mini-top-20,1.0,1.0,0.8413793103448276,0.9875930521091811,0.7103448275862069,0.8387978142076503,0.7667493796526055,0.9307228915662651,0.8408163265306122,0.7963917525773195,0.9307228915662651,0.8583333333333333
112,Llama-4-Maverick-Instruct-Basic,20,Llama-4-Maverick-Instruct-Basic-top-20,1.0,0.9952380952380953,0.8413793103448276,0.9785714285714285,0.7218390804597701,0.8497267759562842,0.7476190476190476,0.9602446483180428,0.8406961178045516,0.7830423940149626,0.9602446483180428,0.8626373626373626
106,gemini-2.5-pro-exp-03-25,10,gemini-2.5-pro-exp-03-25-top-10,0.9977011494252873,1.0,0.8344827586206897,0.9876543209876543,0.7149425287356321,0.8512396694214877,0.7679012345679013,0.9283582089552239,0.8405405405405406,0.8015463917525774,0.9283582089552239,0.86030428769018
33,gemini-2.0-pro-exp-02-05,20,gemini-2.0-pro-exp-02-05-top-20,1.0,1.0,0.8413793103448276,0.9805352798053528,0.7149425287356321,0.8415300546448088,0.7566909975669099,0.9452887537993921,0.8405405405405405,0.7853535353535354,0.9452887537993921,0.8579310344827588
32,gemini-2.0-pro-exp-02-05,10,gemini-2.0-pro-exp-02-05-top-10,1.0,1.0,0.8344827586206897,0.9851485148514851,0.7126436781609196,0.8484848484848485,0.7673267326732673,0.9281437125748503,0.8401084010840107,0.7989690721649485,0.9281437125748503,0.8587257617728531
59,sabia-3,100,sabia-3-top-100,1.0,0.9953917050691244,0.8597701149425288,0.9815668202764977,0.7241379310344828,0.8342245989304813,0.7258064516129032,0.9968354430379747,0.84,0.7572115384615384,0.9968354430379747,0.8606557377049181
0,gpt-4o-mini,10,gpt-4o-mini-top-10,1.0,1.0,0.8344827586206897,0.9874686716791979,0.7057471264367816,0.8402203856749312,0.7694235588972431,0.9246987951807228,0.8399452804377565,0.8036649214659686,0.9246987951807228,0.8599439775910365
19,o1,100,o1-top-100,1.0,1.0,0.8597701149425288,0.9866666666666667,0.6988505747126437,0.8048128342245989,0.8106666666666666,0.8710601719197708,0.8397790055248618,0.8238482384823849,0.8710601719197708,0.8467966573816156
2,gpt-4o-mini,50,gpt-4o-mini-top-50,1.0,1.0,0.8528735632183908,0.9876543209876543,0.7103448275862069,0.8274932614555256,0.762962962962963,0.9335347432024169,0.8396739130434783,0.7882653061224489,0.9335347432024169,0.8547717842323651
65,DeepSeek-R1,20,DeepSeek-R1-top-20,0.993103448275862,1.0,0.8413793103448276,0.9872122762148338,0.7034482758620689,0.8278688524590164,0.782608695652174,0.9053254437869822,0.8395061728395062,0.8073878627968337,0.9053254437869822,0.8535564853556485
117,Llama-4-Scout-Instruct-Basic,50,Llama-4-Scout-Instruct-Basic-top-50,1.0,0.9837209302325581,0.8528735632183908,0.9697674418604652,0.7195402298850575,0.8382749326145552,0.727906976744186,0.990506329113924,0.8391420911528151,0.7671568627450981,0.990506329113924,0.8646408839779006
16,o1,10,o1-top-10,1.0,1.0,0.8344827586206897,0.9918478260869565,0.6919540229885057,0.8236914600550964,0.8179347826086957,0.86,0.8384401114206128,0.847887323943662,0.86,0.8539007092198581
116,Llama-4-Scout-Instruct-Basic,20,Llama-4-Scout-Instruct-Basic-top-20,1.0,0.9858156028368794,0.8413793103448276,0.9692671394799054,0.7149425287356321,0.8415300546448088,0.735224586288416,0.9749216300940439,0.8382749326145552,0.7794486215538847,0.9749216300940439,0.8662952646239556
75,Llama-3.1-70B-Instruct,100,Llama-3.1-70B-Instruct-top-100,1.0,0.9975609756097561,0.8597701149425288,0.9853658536585366,0.7080459770114943,0.8181818181818182,0.751219512195122,0.9476923076923077,0.838095238095238,0.7738693467336684,0.9476923076923077,0.8520055325034578
44,Llama-3.3-70B-Instruct,10,Llama-3.3-70B-Instruct-top-10,0.9977011494252873,1.0,0.8344827586206897,0.9899497487437185,0.7057471264367816,0.8402203856749312,0.7713567839195979,0.9164179104477612,0.8376534788540245,0.8015665796344648,0.9164179104477612,0.8551532033426185
132,o4-mini,20,o4-mini-top-20,1.0,1.0,0.8413793103448276,0.9899244332493703,0.7034482758620689,0.8306010928961749,0.7707808564231738,0.9161676646706587,0.8372093023255813,0.796875,0.9161676646706587,0.8523676880222841
29,gemini-2.0-flash-lite,20,gemini-2.0-flash-lite-top-20,1.0,0.9952153110047847,0.8413793103448276,0.9784688995215312,0.7149425287356321,0.8415300546448088,0.7440191387559809,0.9569230769230769,0.8371467025572006,0.7794486215538847,0.9569230769230769,0.8591160220994474
118,Llama-4-Scout-Instruct-Basic,100,Llama-4-Scout-Instruct-Basic-top-100,1.0,0.990632318501171,0.8597701149425288,0.9718969555035128,0.7149425287356321,0.8235294117647058,0.7283372365339579,0.9810725552050473,0.836021505376344,0.7585365853658537,0.9810725552050473,0.8555708390646493
131,o4-mini,10,o4-mini-top-10,1.0,1.0,0.8344827586206897,0.9923076923076923,0.696551724137931,0.8292011019283747,0.7769230769230769,0.9044776119402985,0.8358620689655173,0.8123324396782842,0.9044776119402985,0.8559322033898306
82,QwQ-32B,50,QwQ-32B-top-50,0.9816091954022989,1.0,0.8528735632183908,0.9827160493827161,0.7057471264367816,0.8221024258760108,0.7580246913580246,0.9303030303030303,0.8353741496598639,0.7791878172588832,0.9303030303030303,0.8480662983425413
15,o1-mini,100,o1-mini-top-100,1.0,1.0,0.8597701149425288,0.989501312335958,0.6919540229885057,0.7994652406417112,0.7900262467191601,0.8852941176470588,0.8349514563106797,0.806970509383378,0.8852941176470588,0.844319775596073
73,Llama-3.1-70B-Instruct,20,Llama-3.1-70B-Instruct-top-20,1.0,0.9951573849878934,0.8413793103448276,0.9757869249394673,0.7034482758620689,0.8306010928961749,0.7409200968523002,0.95625,0.834924965893588,0.7786259541984732,0.95625,0.8583450210378681
133,o4-mini,50,o4-mini-top-50,1.0,1.0,0.8528735632183908,0.9898477157360406,0.696551724137931,0.8113207547169812,0.7690355329949239,0.9126506024096386,0.8347107438016529,0.7911227154046997,0.9126506024096386,0.8475524475524475
115,Llama-4-Scout-Instruct-Basic,10,Llama-4-Scout-Instruct-Basic-top-10,1.0,0.9905437352245863,0.8344827586206897,0.9739952718676123,0.7126436781609196,0.8484848484848485,0.7328605200945626,0.96875,0.8344549125168237,0.7808564231738035,0.96875,0.8647140864714087
14,o1-mini,50,o1-mini-top-50,1.0,1.0,0.8528735632183908,0.9817708333333334,0.6919540229885057,0.8059299191374663,0.7838541666666666,0.8905325443786982,0.8337950138504154,0.8048128342245989,0.8905325443786982,0.8455056179775281
64,DeepSeek-R1,10,DeepSeek-R1-top-10,0.9954022988505747,1.0,0.8344827586206897,0.984375,0.696551724137931,0.8292011019283747,0.7890625,0.8833819241982507,0.8335625859697386,0.816711590296496,0.8833819241982507,0.8487394957983193
37,gemma-3-27b-it,20,gemma-3-27b-it-top-20,1.0,1.0,0.8413793103448276,0.9807692307692307,0.7011494252873564,0.825136612021858,0.7331730769230769,0.9651898734177216,0.8333333333333333,0.7741116751269036,0.9651898734177216,0.8591549295774649
38,gemma-3-27b-it,50,gemma-3-27b-it-top-50,1.0,1.0,0.8528735632183908,0.9832535885167464,0.7011494252873564,0.816711590296496,0.7296650717703349,0.9682539682539683,0.8321964529331514,0.7644110275689223,0.9682539682539683,0.854341736694678
83,QwQ-32B,100,QwQ-32B-top-100,0.9885057471264368,1.0,0.8597701149425288,0.980440097799511,0.7034482758620689,0.8101604278074866,0.7481662591687042,0.9357798165137615,0.8315217391304348,0.7688442211055276,0.9357798165137615,0.8441379310344828
62,sabiazinho-3,50,sabiazinho-3-top-50,1.0,0.9976744186046511,0.8528735632183908,0.9767441860465116,0.7080459770114943,0.8274932614555256,0.7162790697674418,0.9903536977491961,0.8313090418353576,0.7567567567567568,0.9903536977491961,0.8579387186629527
111,Llama-4-Maverick-Instruct-Basic,10,Llama-4-Maverick-Instruct-Basic-top-10,1.0,0.9881235154394299,0.8344827586206897,0.9738717339667459,0.7057471264367816,0.8402203856749312,0.7292161520190024,0.9654088050314465,0.8308525033829499,0.7713567839195979,0.9654088050314465,0.8575418994413408
72,Llama-3.1-70B-Instruct,10,Llama-3.1-70B-Instruct-top-10,1.0,1.0,0.8344827586206897,0.9757869249394673,0.696551724137931,0.8292011019283747,0.7336561743341404,0.9558359621451105,0.8301369863013698,0.7769230769230769,0.9558359621451105,0.8571428571428571
79,Llama-3-70B-Instruct,100,Llama-3-70B-Instruct-top-100,1.0,1.0,0.8597701149425288,0.9786729857819905,0.7034482758620689,0.8101604278074866,0.7251184834123223,0.9683544303797469,0.8292682926829269,0.7518427518427518,0.9683544303797469,0.8464730290456433
17,o1,20,o1-top-20,1.0,1.0,0.8413793103448276,0.9892761394101877,0.6827586206896552,0.8032786885245902,0.7962466487935657,0.8633720930232558,0.8284518828451882,0.8181818181818182,0.8633720930232558,0.8401697312588401
78,Llama-3-70B-Instruct,50,Llama-3-70B-Instruct-top-50,1.0,0.9976359338061466,0.8528735632183908,0.9739952718676123,0.7034482758620689,0.8194070080862533,0.723404255319149,0.9683544303797469,0.8281461434370772,0.7593052109181141,0.9683544303797469,0.8511821974965229
12,o1-mini,10,o1-mini-top-10,1.0,1.0,0.8344827586206897,0.986737400530504,0.6804597701149425,0.8099173553719008,0.7851458885941645,0.8757396449704142,0.827972027972028,0.8199445983379502,0.8757396449704142,0.8469241773962803
28,gemini-2.0-flash-lite,10,gemini-2.0-flash-lite-top-10,1.0,0.9857142857142858,0.8344827586206897,0.969047619047619,0.7011494252873564,0.8347107438016529,0.7261904761904762,0.9621451104100947,0.8276797829036635,0.7682619647355163,0.9621451104100947,0.8543417366946778
77,Llama-3-70B-Instruct,20,Llama-3-70B-Instruct-top-20,1.0,0.9976303317535545,0.8413793103448276,0.9715639810426541,0.7011494252873564,0.825136612021858,0.7227488151658767,0.9682539682539683,0.8276797829036634,0.7625,0.9682539682539683,0.8531468531468531
42,gemma-2-27b-it,50,gemma-2-27b-it-top-50,1.0,0.9953051643192489,0.8528735632183908,0.9741784037558685,0.6942528735632184,0.8086253369272237,0.7089201877934272,0.9837133550488599,0.8240109140518418,0.742014742014742,0.9837133550488599,0.84593837535014
43,gemma-2-27b-it,100,gemma-2-27b-it-top-100,0.9954022988505747,0.9952941176470588,0.8597701149425288,0.9741176470588235,0.6942528735632184,0.7994652406417112,0.7105882352941176,0.9773462783171522,0.8228882833787466,0.7365853658536585,0.9773462783171522,0.8400556328233658
41,gemma-2-27b-it,20,gemma-2-27b-it-top-20,1.0,0.9953161592505855,0.8413793103448276,0.9672131147540983,0.6919540229885057,0.8169398907103825,0.7049180327868853,0.9868852459016394,0.8224043715846995,0.7525,0.9868852459016394,0.8539007092198581
27,gemini-2.0-flash,100,gemini-2.0-flash-top-100,0.9471264367816092,1.0,0.8597701149425288,0.9868766404199475,0.6804597701149425,0.7834224598930482,0.7769028871391076,0.8731563421828908,0.8222222222222222,0.7935656836461126,0.8731563421828908,0.8314606741573034
81,QwQ-32B,20,QwQ-32B-top-20,0.9908045977011494,1.0,0.8413793103448276,0.9822784810126582,0.6781609195402298,0.7978142076502732,0.7468354430379747,0.9076923076923077,0.8194444444444445,0.7742782152230971,0.9076923076923077,0.8356940509915014
25,gemini-2.0-flash,20,gemini-2.0-flash-top-20,0.9563218390804598,1.0,0.8413793103448276,0.9894736842105263,0.6758620689655173,0.8005464480874317,0.7736842105263158,0.8698224852071006,0.8189415041782729,0.7989130434782609,0.8698224852071006,0.8328611898016997
63,sabiazinho-3,100,sabiazinho-3-top-100,0.9977011494252873,0.9976744186046511,0.8597701149425288,0.986046511627907,0.6896551724137931,0.7967914438502673,0.6976744186046512,0.9868421052631579,0.8174386920980926,0.7281553398058253,0.9868421052631579,0.8379888268156425
76,Llama-3-70B-Instruct,10,Llama-3-70B-Instruct-top-10,1.0,0.9976303317535545,0.8344827586206897,0.9715639810426541,0.6827586206896552,0.8126721763085399,0.7037914691943128,0.9737704918032787,0.8170563961485556,0.7538071065989848,0.9737704918032787,0.849785407725322
13,o1-mini,20,o1-mini-top-20,1.0,1.0,0.8413793103448276,0.9868421052631579,0.6666666666666666,0.7841530054644809,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.7901907356948229,0.8787878787878788,0.8321377331420373
127,gpt-4.1-nano,10,gpt-4.1-nano-top-10,1.0,0.9973333333333333,0.8344827586206897,0.984,0.6666666666666666,0.7933884297520661,0.7733333333333333,0.8656716417910447,0.8169014084507041,0.8011049723756906,0.8656716417910447,0.8321377331420372
159,llama-3.2-1B-instruct-grpo-005-step-1000,20,llama-3.2-1B-instruct-grpo-005-step-1000-top-20,1.0,0.9885057471264368,0.8413793103448276,0.9770114942528736,0.6896551724137931,0.8142076502732241,0.6896551724137931,1.0,0.8163265306122449,0.7371007371007371,1.0,0.8486562942008486
39,gemma-3-27b-it,100,gemma-3-27b-it-top-100,1.0,1.0,0.8597701149425288,0.983451536643026,0.6758620689655173,0.7807486631016043,0.6950354609929078,0.98,0.8132780082987552,0.7241379310344828,0.98,0.8328611898016998
158,llama-3.2-1B-instruct-grpo-005-step-1000,10,llama-3.2-1B-instruct-grpo-005-step-1000-top-10,1.0,0.9954022988505747,0.8344827586206897,0.9770114942528736,0.6850574712643678,0.8154269972451791,0.6850574712643678,1.0,0.8130968622100955,0.7376237623762376,1.0,0.849002849002849
